7120 60%-1,,7120 60%-2,,60%-3,,7120 80%-1,,7120 80%-2,,80%-3,,7120 100%-1,,7120 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
724.0126953,0.73544699,724.0126953,0.648054659,724.0126953,0.546304703,724.0126953,0.884989142,724.0126953,0.760258794,724.0126953,0.768003345,724.0126953,0.975862265,724.0126953,0.916784644,724.0126953,0.811140835
723.0145264,0.734026909,723.0145264,0.649663687,723.0145264,0.547342897,723.0145264,0.886573672,723.0145264,0.760994911,723.0145264,0.770743191,723.0145264,0.974217296,723.0145264,0.921181977,723.0145264,0.814484894
722.0159912,0.740540326,722.0159912,0.653224289,722.0159912,0.550747275,722.0159912,0.890237272,722.0159912,0.763096631,722.0159912,0.774512589,722.0159912,0.979130924,722.0159912,0.923818767,722.0159912,0.816738784
721.0171509,0.741266966,721.0171509,0.653891861,721.0171509,0.552165628,721.0171509,0.894769192,721.0171509,0.767606497,721.0171509,0.77965349,721.0171509,0.981075704,721.0171509,0.927652597,721.0171509,0.819696546
719.9821777,0.743565559,719.9821777,0.656976998,719.9821777,0.554385901,719.9821777,0.897227466,719.9821777,0.769847989,719.9821777,0.781160235,719.9821777,0.981613398,719.9821777,0.934783399,719.9821777,0.825439632
718.982605,0.743018746,718.982605,0.658251643,718.982605,0.553365946,718.982605,0.901996791,718.982605,0.773361087,718.982605,0.78232187,718.982605,0.9890275,718.982605,0.934899628,718.982605,0.824498653
717.9827881,0.746990919,717.9827881,0.661685646,717.9827881,0.556795001,717.9827881,0.900938809,717.9827881,0.776855648,717.9827881,0.787083685,717.9827881,0.993219852,717.9827881,0.938624203,717.9827881,0.828218103
716.9824829,0.750699103,716.9824829,0.66337198,716.9824829,0.559537888,716.9824829,0.906800926,716.9824829,0.778969228,716.9824829,0.788178265,716.9824829,0.9954831,716.9824829,0.93959266,716.9824829,0.833045721
716.0176392,0.755691707,716.0176392,0.667822123,716.0176392,0.561263859,716.0176392,0.913691402,716.0176392,0.781386554,716.0176392,0.792327523,716.0176392,1.003556252,716.0176392,0.945035338,716.0176392,0.836683452
715.0167236,0.75736618,715.0167236,0.66945678,715.0167236,0.562608779,715.0167236,0.916961849,715.0167236,0.786168873,715.0167236,0.798087776,715.0167236,1.006229639,715.0167236,0.946249306,715.0167236,0.838562667
714.0155029,0.759946287,714.0155029,0.67355448,714.0155029,0.566546857,714.0155029,0.91906929,714.0155029,0.788780093,714.0155029,0.800971091,714.0155029,1.009258628,714.0155029,0.954191864,714.0155029,0.843179762
713.013916,0.762848735,713.013916,0.677045822,713.013916,0.567540824,713.013916,0.921696484,713.013916,0.792172909,713.013916,0.804041326,713.013916,1.014695764,713.013916,0.956588984,713.013916,0.84572643
712.0120239,0.768626273,712.0120239,0.679704964,712.0120239,0.570804358,712.0120239,0.92929095,712.0120239,0.795695365,712.0120239,0.80990237,712.0120239,1.019821167,712.0120239,0.963016152,712.0120239,0.850124002
